"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up"
"1","facebook_S",1,11,0.318817951682456,0.0358136988279499,"[0.05, 0.58]",0.0536332797071647,0.582952625243827
"2","facebook_S",2,44,0.533223717914483,0.0142828367341774,"[0.34, 0.72]",0.341967863737473,0.724097238869242
"3","facebook_S",3,35,0.383539295603642,0.0146759242239654,"[0.21, 0.56]",0.207109313428006,0.56000425842118
"4","facebook_S",5,3,1.25922936879333,0.00158814573221599,"[1.25, 1.27]",1.24729080964999,1.2709618458809
"5","facebook_S",6,14,0.651413756847956,0.121699698141216,"[0, 1.64]",0,1.63658171127933
"6","ooh_S",1,11,0.846231953195524,0.0444473898499167,"[0.52, 1.17]",0.517038985241383,1.17396256689081
"7","ooh_S",2,44,0.640539081307268,0.0139188633764839,"[0.45, 0.83]",0.454393430088924,0.826784899906185
"8","ooh_S",3,35,0.482509006574599,0.00973080177163868,"[0.37, 0.6]",0.36519679095471,0.599182106191916
"9","ooh_S",5,3,1.21211148342166,0.000584200142818828,"[1.21, 1.22]",1.20773556835724,1.21644296999316
"10","ooh_S",6,14,1.18531583813989,0.0407235105942983,"[0.86, 1.52]",0.858799834101101,1.51716537367216
"11","print_S",1,11,1.10777853081805,0.112992366258915,"[0.28, 1.95]",0.275959843923222,1.94596454369277
"12","print_S",2,44,0.678574086342274,0.0186445493362042,"[0.43, 0.93]",0.429417933019047,0.928242509680955
"13","print_S",3,35,0.517626171992609,0.0244017478832834,"[0.22, 0.81]",0.223619938672092,0.810380496003576
"14","print_S",5,3,1.22213151898601,0.0113820530285705,"[1.14, 1.31]",1.1370735336499,1.30672105664238
"15","print_S",6,14,1.32934946577709,0.129020166226864,"[0.28, 2.37]",0.28070015930814,2.36653289115984
"16","search_S",1,11,0.0587901602935206,0.0311100670018827,"[0, 0.29]",0,0.288330406295724
"17","search_S",2,44,0.646643686146597,0.0156083021717092,"[0.44, 0.86]",0.438082581069162,0.855674048839068
"18","search_S",3,35,0.35617744942999,0.0268777533291748,"[0.03, 0.68]",0.033772563874361,0.680070755244852
"19","search_S",5,3,1.22852453133894,0.00876361313637673,"[1.16, 1.29]",1.16338018124776,1.29400031254734
"20","search_S",6,14,0.0406197058550745,0.0205539413668283,"[0, 0.21]",0,0.207985870489271
"21","tv_S",1,11,0.51370183285491,0.0165157587785365,"[0.39, 0.63]",0.390859183885345,0.63495881374189
"22","tv_S",2,44,0.600161696595261,0.00710505744350078,"[0.51, 0.7]",0.505041251438664,0.695133122660817
"23","tv_S",3,35,0.475858724179475,0.00368103164257572,"[0.43, 0.52]",0.431592701335139,0.520106204076154
"24","tv_S",5,3,1.21843652210044,0.00407599879196388,"[1.19, 1.25]",1.1878296059941,1.24858165986709
"25","tv_S",6,14,0.615351053641591,0.0254142403477057,"[0.41, 0.82]",0.41004128296145,0.82090615721049
