ds,y
2018-10-14,647229.53
2018-10-21,734937.99
2019-01-13,660726.66
2019-07-21,732886.68
2019-07-28,719614.85
2019-09-15,847173.74
2019-09-22,916540.30
2019-09-29,868206.22
2019-10-06,875945.53
2019-10-13,808041.33
2019-10-20,847244.65
2019-10-27,858005.72
2019-11-03,863530.29
2019-11-10,854255.66
2019-11-17,797055.92
2019-11-24,948766.85
2019-12-01,913621.85
2019-12-08,826288.57
2019-12-15,650525.24
2019-12-22,437768.28
2019-12-29,641120.87
2020-01-05,912417.30
2020-01-12,808035.52
2020-01-19,970087.09
2020-01-26,910210.70
2020-02-02,862737.60
2020-02-09,847621.29
2020-02-16,838895.33
2020-02-23,1069951.04
2020-03-01,1144151.48
2020-03-08,1266858.73
2020-03-15,1693031.00
2020-03-22,1469872.99
2020-03-29,1302898.37
2020-04-05,1320594.59
2020-04-12,1124149.54
2020-04-19,1147400.53
2020-04-26,1031940.38
2020-05-03,1084945.95
2020-05-10,982150.48
2020-05-17,985114.23
2020-05-24,922087.14
2020-05-31,894105.19
2020-06-07,949074.40
2020-06-14,868685.69
2020-06-21,928604.30
2020-06-28,883942.06
2020-07-05,943067.85
2020-07-12,884905.72
2020-07-19,854631.01
2020-07-26,878726.18
2020-08-02,902573.03
2020-08-09,888313.23
2020-08-16,827635.39
2020-08-23,903443.31
2020-08-30,927351.82
2020-09-06,867446.93
2020-09-13,856983.27
2020-09-20,974867.11
2020-09-27,911625.58
2020-10-04,962927.57
2020-10-11,1121802.96
2020-10-18,916487.46
2020-10-25,931623.90
2020-11-01,951213.94
2020-11-08,969278.22
2020-11-15,931979.19
2020-11-22,806647.49
2020-11-29,914165.34
2020-12-06,906346.67
2020-12-13,840248.90
2020-12-20,591446.61
2020-12-27,764464.48
2021-01-03,1026877.01
2021-01-10,943056.18
2021-01-17,885951.72
2021-01-24,951847.32
2021-01-31,890866.78
2021-02-07,1670368.66
2021-02-14,1428232.03
2021-02-21,2013326.28
2021-02-28,1933743.03
2021-03-07,1821531.57
2021-03-14,1787801.10
2021-03-21,1795573.85
2021-03-28,1734435.04
2021-04-04,1689659.63
2021-04-11,1678555.59
2021-04-18,1702144.16
2021-04-25,1743006.00
2021-05-02,1567917.61
2021-05-09,1693604.97
2021-05-16,1656803.65
2021-05-23,1684221.42
2021-05-30,1696073.12
2021-06-06,1641953.65
2021-06-13,1434334.25
2021-06-20,1392591.39
2021-06-27,1483627.33
2021-07-04,1203147.77
2021-07-11,1409161.55
2021-07-18,1346697.33
2021-07-25,1379951.16
2021-08-01,1384793.29
2021-08-08,1427964.01
2021-08-15,1475454.25
2021-08-22,1450405.75
2021-08-29,1505648.60
2021-09-05,1461995.63
2021-09-12,1527922.95
2021-09-19,1575940.52
2021-09-26,1885157.04
2021-10-03,1841315.12
2021-10-10,1716006.96
2021-10-17,1566893.05
2021-10-24,1587348.81
2021-10-31,1764412.66
2021-11-07,1697315.55
2021-11-14,1612654.05
2021-11-21,1242642.27
2021-11-28,1854592.28
2021-12-05,1615549.47
2021-12-12,1711585.76
2021-12-19,898561.87
2021-12-26,1143033.53
2022-01-02,1641738.38
2022-01-09,1737738.39
2022-01-16,1570082.92
2022-01-23,1603378.44
2022-01-30,1697462.16
2022-02-06,1740910.64
2022-02-13,1581863.69
2022-02-20,1647249.87
2022-02-27,1917630.40
2022-03-06,1540525.32
2022-03-13,1783188.64
2022-03-20,1799735.82
2022-03-27,1955327.66
2022-04-03,1968515.79
2022-04-10,1866465.68
2022-04-17,1757209.22
2022-04-24,1910205.48
2022-05-01,1913674.22
2022-05-08,1774080.46
2022-05-15,2497726.59
2022-05-22,1709048.56
2022-05-29,1704391.83
2022-06-05,927193.92
2018-08-05,671269.73
2019-01-06,774379.54
2018-07-22,700143.26
2018-08-12,643705.93
2018-07-29,669448.55
2018-06-17,668735.46
2018-06-10,652171.79
2019-08-25,877882.70
2018-07-15,775111.93
2018-06-24,697074.12
2018-07-08,679203.68
2018-07-01,605821.35
2018-08-19,662700.52
2019-08-18,815977.82
2018-06-03,662170.37
2019-09-01,788935.56
2019-06-30,635156.97
2019-09-08,869755.27
2019-06-23,791654.09
2019-06-09,704889.00
2019-08-11,784790.46
2019-06-16,757315.34
2019-08-04,712841.36
2019-05-26,703662.98
2019-05-19,689788.72
2018-08-26,729728.84
2019-07-14,1289654.16
2019-06-02,730130.35
2019-07-07,839096.67
2018-11-11,664728.22
2018-10-07,705749.94
2019-05-12,636870.42
2018-09-23,785244.21
2018-09-16,706785.12
2018-11-18,556231.35
2018-09-30,700976.93
2018-09-09,719729.51
2018-12-23,417458.90
2018-11-25,714695.47
2019-04-21,775639.05
2018-09-02,656014.98
2018-10-28,706864.43
2018-12-02,685452.90
2019-04-07,733766.89
2019-03-24,765514.83
2018-11-04,734536.96
2019-04-28,749962.63
2019-03-31,769377.54
2019-03-17,691212.43
2019-04-14,689398.25
2018-12-16,537238.06
2019-02-24,777904.74
2019-03-10,693144.52
2019-03-03,756830.59
2019-01-27,746187.63
2019-02-17,724201.89
2019-02-03,689055.37
2018-12-30,601474.27
2018-12-09,586628.74
2019-05-05,715591.57
2019-02-10,677533.10
2019-01-20,731353.82
