Date,Sales
2019-11-09,126466790.83
2019-11-16,116117395.64
2019-11-23,124555091.69
2019-11-30,129853743.55
2019-12-07,116165015.41
2019-12-14,123119230.64
2019-12-21,126265386.49
2019-12-28,120123632.15
2020-01-04,139106914.23
2020-01-11,142671268.93
2020-01-18,132628325.74
2020-01-25,125409050.82
2020-02-01,132570379.39
2020-02-08,156158406.54
2020-02-15,135927592.59
2020-02-22,130161020.09
2020-02-29,179891523.22
2020-03-07,283615796.44
2020-03-14,350156323.32
2020-03-21,262969316.83
2020-03-28,182951940.83
2020-04-04,176704717.39000002
2020-04-11,163143509.38
2020-04-18,176885362.04
2020-04-25,191120345.91
2020-05-02,178416676.85
2020-05-09,169246905.66
2020-05-16,161334765.21
2020-05-23,163827584.75
2020-05-30,170335567.87
2020-06-06,153356150.98
2020-06-13,166100040.1
2020-06-20,156117264.25
2020-06-27,156414666.84
2020-07-04,164585965.36
2020-07-11,147775247.84
2020-07-18,149616159.84
2020-07-25,151360637.97
2020-08-01,153111509.89000002
2020-08-08,174849376.47
2020-08-15,156389660.53
2020-08-22,162234895.89
2020-08-29,157577709.94
2020-09-05,154580099.65
2020-09-12,162027229.47
2020-09-19,162720181.51
2020-09-26,167362780.88
2020-10-03,166904579.23
2020-10-10,179205993.18
2020-10-17,148831118.31
2020-10-24,169421098.44
2020-10-31,181732949.84
2020-11-07,178082492.86
2020-11-14,186465464.57
2020-11-21,180681563.18
2020-11-28,152801603.22
2020-12-05,163344205.95
2020-12-12,160373402.23
2020-12-19,154338336.55
2020-12-26,147765795.32
2021-01-02,157904287.0
2021-01-09,188638639.32
2021-01-16,189709945.4
2021-01-23,178472973.94
2021-01-30,184751342.0
2021-02-06,187673007.48
2021-02-13,180508679.08
2021-02-20,155719587.95
2021-02-27,185412438.69
2021-03-06,187138896.75
2021-03-13,175598248.13
2021-03-20,190332140.28
2021-03-27,183100896.64
2021-04-03,190062606.89
2021-04-10,175215364.66
2021-04-17,178696111.65
2021-04-24,171930857.85
2021-05-01,168124806.65
