forecast_timestamp,forecast_value,standard_error,confidence_level,prediction_interval_lower_bound,prediction_interval_upper_bound,confidence_interval_lower_bound,confidence_interval_upper_bound
2022-03-06T00:00:00Z,1913527.307,90035.06862,0.8,1798076.541,2028978.073,1798076.541,2028978.073
2022-03-13T00:00:00Z,2113333.746,107341.0054,0.8,1975691.809,2250975.684,1975691.809,2250975.684
2022-03-20T00:00:00Z,2067643.384,124969.3962,0.8,1907396.796,2227889.972,1907396.796,2227889.972
2022-03-27T00:00:00Z,2030110.518,138146.9355,0.8,1852966.548,2207254.489,1852966.548,2207254.489
2022-04-03T00:00:00Z,1987051.383,148949.8253,0.8,1796055.011,2178047.754,1796055.011,2178047.754
2022-04-10T00:00:00Z,1902598.307,153044.2951,0.8,1706351.651,2098844.962,1706351.651,2098844.962
2022-04-17T00:00:00Z,1938191.658,157032.0414,0.8,1736831.569,2139551.748,1736831.569,2139551.748
2022-04-24T00:00:00Z,1909736.291,160920.9987,0.8,1703389.444,2116083.139,1703389.444,2116083.139
2022-05-01T00:00:00Z,1843584.612,164718.1642,0.8,1632368.71,2054800.514,1632368.71,2054800.514
2022-05-08T00:00:00Z,1846561.667,168429.7462,0.8,1630586.453,2062536.881,1630586.453,2062536.881
2022-05-15T00:00:00Z,1840849.403,172061.2833,0.8,1620217.517,2061481.288,1620217.517,2061481.288
2022-05-22T00:00:00Z,1832791.64,175617.7411,0.8,1607599.356,2057983.924,1607599.356,2057983.924
